Neighbourhood,Businesses,Total Population,Pre-Tax Household Income
West Humber-Clairville,2550,32265,63415
Mount Olive-Silverstone-Jamestown,273,32130,48145
Thistletown-Beaumond Heights,236,9925,55030
Rexdale-Kipling,155,10725,52430
Elms-Old Rexdale,70,9440,53780
Kingsview Village-The Westway,160,21395,50935
Willowridge-Martingrove-Richview,182,20920,60280
Humber Heights-Westmount,81,10525,50230
Edenbridge-Humber Valley,162,14450,72565
Princess-Rosethorn,77,10965,118480
Eringate-Centennial-West Deane,244,18535,71005
Markland Wood,105,10240,75700
Etobicoke West Mall,181,10680,52435
Islington-City Centre West,2291,32815,61515
Kingsway South,189,8790,121670
Stonegate-Queensway,605,23815,66155
Mimico,635,24965,55775
New Toronto,342,10655,43440
Long Branch,168,9625,51505
Alderwood,312,11655,62840
Humber Summit,1342,12770,57810
Humbermede,360,14780,46465
Pelmo Park-Humberlea,157,8725,64530
Black Creek,343,21715,39755
Glenfield-Jane Heights,631,30880,44210
Downsview-Roding-CFB,965,32010,45770
York University Heights,2659,26140,43050
Rustic,48,10040,36945
Maple Leaf,50,10270,48935
Brookhaven-Amesbury,429,17325,43385
Yorkdale-Glen Park,1522,14825,49455
Englemount-Lawrence,185,21125,45060
Clanton Park,344,13735,51960
Bathurst Manor,259,14945,54315
Westminster-Branson,80,24395,42520
Newtonbrook West,507,20485,51630
Willowdale West,326,12520,57735
Lansing-Westgate,476,14440,63355
Bedford Park-Nortown,659,21960,90635
St.Andrew-Windfields,630,17555,92365
Bridle Path-Sunnybrook-York Mills,58,8210,208310
Banbury-Don Mills,735,25435,74230
Victoria Village,398,17050,42315
Flemingdon Park,220,21290,41280
Parkwoods-Donalda,199,33835,56940
Pleasant View,131,16615,61455
Don Valley Village,367,26640,56120
Hillcrest Village,421,18330,59610
Bayview Woods-Steeles,95,13295,64950
Newtonbrook East,397,15565,60460
Willowdale East,816,41060,55985
Bayview Village,433,15370,70855
Henry Farm,737,11290,56645
O'Connor-Parkview,361,17745,50165
Thorncliffe Park,403,17945,39580
Leaside-Bennington,345,15980,94835
Broadview North,128,11590,40775
Old East York,127,9025,63185
Danforth-East York,156,16500,57810
Woodbine-Lumsden,57,8050,53500
Taylor-Massey,164,15210,39265
East End-Danforth,523,20100,55100
The Beaches,537,20420,79665
Woodbine Corridor,143,11550,58880
Greenwood-Coxwell,339,14700,48200
Danforth,413,5450,56620
Playter Estates-Danforth,291,7685,61250
North Riverdale,323,12430,69085
Blake-Jones,139,11890,49350
South Riverdale,1284,24430,48515
Cabbagetown-South St.James Town,282,11120,54655
Regent Park,144,10385,24775
Moss Park,878,15480,41375
North St.James Town,246,17110,30235
Church-Yonge Corridor,2492,24370,43650
Bay Street Corridor,4194,15320,50595
Waterfront Communities-The Island,2895,26025,60870
Kensington-Chinatown,1885,17090,34260
University,481,5905,58780
Palmerston-Little Italy,560,13775,50990
Trinity-Bellwoods,684,16605,52220
Niagara,590,14575,62375
Dufferin Grove,350,11805,42425
Little Portugal,340,12120,46195
South Parkdale,506,21005,28560
Roncesvalles,570,14650,47685
High Park-Swansea,465,19980,63765
High Park North,274,20970,53170
Runnymede-Bloor West Village,332,9565,80620
Junction Area,561,13175,53545
Weston-Pellam Park,185,12095,46995
Corso Italia-Davenport,415,14415,54220
Dovercourt-Wallace Emerson-Juncti,863,34725,46895
Wychwood,400,14200,47620
Annex,2322,27480,53875
Casa Loma,284,9810,71705
Yonge-St.Clair,511,11230,70725
Rosedale-Moore Park,674,20605,99740
Mount Pleasant East,470,15215,78035
Yonge-Eglinton,645,10500,68505
Forest Hill South,169,10840,90830
Forest Hill North,154,12295,56970
Lawrence Park South,162,14820,129320
Mount Pleasant West,1104,23735,49650
Lawrence Park North,374,13750,100100
Humewood-Cedarvale,137,13915,52590
Oakwood Village,252,21440,44925
Briar Hill-Belgravia,467,14200,47975
Caledonia-Fairbank,96,10280,51865
Keelesdale-Eglinton West,275,11225,45650
Rockcliffe-Smythe,285,22380,45515
Beechborough-Greenbrook,142,6530,38620
Weston,505,16470,39300
Lambton Baby Point,64,7780,66140
Mount Dennis,172,12840,41060
Steeles,257,24705,57365
L'Amoreaux,479,45865,51035
Tam O'Shanter-Sullivan,343,27240,49210
Wexford/Maryvale,961,26655,51070
Clairlea-Birchmount,817,19855,52060
Oakridge,192,13370,31365
Birchcliffe-Cliffside,350,21655,58715
Cliffcrest,214,14530,62770
Kennedy Park,259,17035,41130
Ionview,148,13030,44090
Dorset Park,922,24365,46485
Bendale,825,25490,51995
Agincourt South-Malvern West,1399,21565,55040
Agincourt North,295,30160,58095
Milliken,1871,26265,60350
Rouge,832,43180,76945
Malvern,665,44315,56610
Centennial Scarborough,125,12450,99375
Highland Creek,91,12845,86850
Morningside,100,28810,54590
West Hill,439,25635,46740
Woburn,1020,40845,49305
Eglinton East,313,22385,43935
Scarborough Village,220,15585,42415
Guildwood,66,10025,75025
